q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,37,78a6d412d86e,0.8897346258163452,3.5421302318573,0.2222222238779068,0.09116076173031373,1.0,1,1.7764395088537097,3,33b4e36b0d81,0.8119215369224548,0.8059757947921753,0.20000000298023224,0.1682360897391828,0.6090768487392924,1,0.9244062396689616,43,61355ce7e829,0.8170416355133057,0.9860146641731262,0.1428571492433548,0.2554127452163465,0.5052523093092118,1,0.8862035223770652,167,00c6f12023ab,0.7957242727279663,0.23642873764038086,0.2857142984867096,0.11157175065711056,0.8065963084128944,0,0.8632714827480777,119,b729f6985724,0.8344691395759583,1.5988208055496216,0.1111111119389534,0.0,0.42020984140568113,1,0.9862624062426208,103,6680fc36f234,0.8349023461341858,1.614053726196289,0.1111111119389534,0.0,0.42020984140568113,1,0.9895205823905586,191,a9be4c9c15a1,0.830842137336731,1.471284031867981,0.1818181872367859,0.23500177712287373,0.5898036247287963,1,1.046151552453228,44,2d4009710863,0.837160587310791,1.6934607028961182,0.1111111119389534,0.0,0.2913848927649772,1,0.9163277971469402,35,e19513a85bed,0.8173089027404785,0.9954126477241516,0.1428571492433548,0.2554127452163465,0.35035564487217496,1,0.7797736112489151,40,f64df278da5d,0.8277143239974976,1.3613001108169556,0.0,0.11157175065711056,0.0,1,0.6422904919965715
1,06d678da6c8d,prepare procedural documents,95,7c80e08ee743,0.9018272757530212,3.6786134243011475,0.5,0.0,1.0,1,1.730000025331974,77,9b108680399f,0.8900970816612244,3.3192248344421387,0.5,0.0,1.0,1,1.6591740760207176,121,66497e9d2189,0.8427298069000244,1.8679912090301514,0.1428571492433548,0.2554127452163465,0.3480953704871541,1,0.9358994978022185,61,dc17b84d2d6b,0.8268556594848633,1.3816406726837158,0.1428571492433548,0.2554127452163465,0.4835877978296777,1,0.9276908953691853,30,c6a87cc5d35e,0.844296932220459,1.9160045385360718,0.20000000298023224,0.0,0.4185432430857448,1,1.0136780995853563,15,c5e6a1a8c44d,0.81989985704422,1.1685293912887573,0.1666666716337204,0.14384099455923594,0.38008251264002774,1,0.8189556673247588,16,6e6ec1a475b8,0.8184659481048584,1.124597430229187,0.1428571492433548,0.2554127452163465,0.3480953704871541,1,0.7783810811590758,48,23ca56c5d573,0.8054417967796326,0.7255648374557495,0.0,0.14384099455923594,0.0,0,0.39238866308107895,186,4c7ceb754866,0.7720747590065002,-0.2967310845851898,0.1428571492433548,0.2554127452163465,0.3480953704871541,0,0.39721430086608805,43,61355ce7e829,0.8200429677963257,1.1729140281677246,0.0,0.0,0.0,1,0.5842135119438171
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",51,6385c0e2eb2e,0.8401346206665039,1.002616286277771,0.27272728085517883,0.29389328800662196,1.0,1,1.28620093242027,89,b03b706832f2,0.8895875215530396,2.9664549827575684,0.0,0.20273252627630822,0.0,1,1.1097267741944594,102,f2c8cd5b27ab,0.854213535785675,1.5617082118988037,0.07692307978868484,0.29389328800662196,0.2803772187470784,1,0.9396056502995228,73,a40c650a049f,0.8657306432723999,2.0190675258636475,0.0,0.12565719826743915,0.0,1,0.8834324022693177,47,8f3ed6033a9e,0.8493966460227966,1.3704233169555664,0.1666666716337204,0.29389328800662196,0.6287000027189941,1,1.1256670614473985,4,9fc64a999e12,0.848391056060791,1.330489993095398,0.06666667014360428,0.12565719826743915,0.15907974871851754,1,0.8165094374480628,76,298036041aa4,0.8563642501831055,1.6471158266067505,0.0,0.29389328800662196,0.0,1,0.7747378744254273,29,ef7349785e11,0.8340239524841309,0.7599536776542664,0.1818181872367859,0.4054650386637325,0.5410330217665478,0,0.8256881642404837,185,7b03e0901b8c,0.8565654754638672,1.655106782913208,0.0,0.29389328800662196,0.0,1,0.776711577929036,22,bab0b2935945,0.8522356748580933,1.4831647872924805,0.0,0.12565719826743915,0.0,1,0.7510660430354615
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.9369370937347412,4.097745418548584,0.27272728085517883,0.0,0.99530758268517,1,1.77216988747137,145,7809c19536e4,0.8903580904006958,2.540999174118042,0.27272728085517883,0.0,1.0,1,1.464575729072094,30,c6a87cc5d35e,0.8320837020874023,0.5933741927146912,0.25,0.4236488349555293,0.7193948505967354,1,0.8382007703009059,16,6e6ec1a475b8,0.869929313659668,1.8582361936569214,0.20000000298023224,0.1682360897391828,0.6227890661610791,1,1.0553688861811719,103,6680fc36f234,0.8705501556396484,1.8789857625961304,0.20000000298023224,0.1682360897391828,0.6606693773587912,1,1.0860892729353189,38,a3c08ed1a115,0.8366027474403381,0.7444080710411072,0.0833333358168602,0.07707532800886907,0.485764528545711,1,0.7505253639374451,44,2d4009710863,0.8740354776382446,1.9954708814620972,0.20000000298023224,0.1682360897391828,0.5983085886151066,1,1.0660384390616764,186,4c7ceb754866,0.8069029450416565,-0.24820773303508759,0.20000000298023224,0.1682360897391828,0.6227890661610791,1,0.6285701308781465,0,d52ebdd6c51c,0.8119215369224548,-0.08047821372747421,0.20000000298023224,0.1682360897391828,0.6361888998128188,1,0.671934660635498,184,389dd43f303d,0.8106290698051453,-0.12367457151412964,0.2222222238779068,0.27980784039629336,0.7213795363593288,1,0.7109780360432866
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",142,c71cb5036aef,0.904338002204895,3.4404380321502686,0.1666666716337204,0.0,1.0,1,1.7966666954755783,154,17f9d29c543d,0.8369656801223755,1.1515376567840576,0.1666666716337204,0.0,0.6014932466855267,1,1.037949928076807,199,0d99df7b9f80,0.8508375883102417,1.622820496559143,0.1818181872367859,0.07707532800886907,0.8768824657917131,1,1.3199027277238704,2,771b010da2fa,0.848391056060791,1.5397021770477295,0.06666667014360428,0.12565719826743915,0.21876045950180517,1,0.8509945509550548,113,322cdff981bb,0.8479323387145996,1.5241178274154663,0.0833333358168602,0.07707532800886907,0.3784798271794378,1,0.9623091254195514,27,88a991273442,0.808440089225769,0.18241219222545624,0.10000000149011612,0.27980784039629336,0.5542711270971936,0,0.6981586530881485,185,7b03e0901b8c,0.8607274293899536,1.9588168859481812,0.0,0.1682360897391828,0.0,1,0.792441067596974,168,ab35d13698b5,0.8530150651931763,1.6967978477478027,0.0,0.07707532800886907,0.0,1,0.7448362611158154,186,4c7ceb754866,0.8016377687454224,-0.04868914932012558,0.09090909361839294,0.1682360897391828,0.29240259438360094,1,0.5574431678830908,76,298036041aa4,0.8442302942276001,1.398344874382019,0.0,0.1682360897391828,0.0,1,0.6711123337355276
5,abdac161e57b,design medical devices or appliances,162,957f012e4031,0.8859462141990662,2.4646236896514893,0.1666666716337204,0.14384099455923594,1.0,1,1.7822825960196547,70,d5bb4574fc4d,0.8630846738815308,1.5252047777175903,0.125,0.11157175065711056,0.4243632379262217,1,1.1385277383074808,155,f6d7dbe3f71e,0.8610444068908691,1.4413667917251587,0.1666666716337204,0.14384099455923594,0.5102462741731951,1,1.166797884104355,147,a2140782858a,0.8644460439682007,1.5811457633972168,0.125,0.11157175065711056,0.4243632379262217,1,1.1535559617028284,63,50171927f859,0.8670803308486938,1.6893930435180664,0.10000000149011612,0.27980784039629336,0.36322616127583385,1,1.1270003919315719,127,3d77dabe7560,0.8565706014633179,1.257530689239502,0.1428571492433548,0.0,0.46335877870863124,1,1.1026310846879266,181,49ccfbfcfc0a,0.8606222867965698,1.4240211248397827,0.0,0.0,0.0,1,0.8436298984289169,135,4055e1544ee0,0.8784799575805664,2.157822847366333,0.0,0.14384099455923594,0.0,1,1.0311853817977004,206,c32f9f13a109,0.8468848466873169,0.8595267534255981,0.0,0.11157175065711056,0.0,1,0.6771258603914232,21,c9b70de179fe,0.8541473150253296,1.1579537391662598,0.0,0.0,0.0,1,0.7704091089963913
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.8797474503517151,2.8548755645751953,0.375,0.09116076173031373,1.0,1,1.7458839476688266,126,ebdb003908ef,0.8558304309844971,2.0179457664489746,0.2222222238779068,0.09116076173031373,0.6219592058133134,1,1.3052180205795463,59,da6e8742f6bf,0.8490103483200073,1.7792900800704956,0.25,0.2027325123874243,0.6211695670957962,1,1.2305081868052612,181,49ccfbfcfc0a,0.8476637601852417,1.7321687936782837,0.1111111119389534,0.2027325123874243,0.47072232479609577,1,1.1337497620781498,204,62b52b411f3a,0.7988200187683105,0.02297661267220974,0.25,0.2027325123874243,0.7370548607343586,1,0.8804838671754912,141,dbc0d59bd942,0.852310299873352,1.8947654962539673,0.2222222238779068,0.09116076173031373,0.6219592058133134,1,1.2748114784571822,157,018f6a0e7f9a,0.8336537480354309,1.2419155836105347,0.1538461595773697,0.20273252627630822,0.4653176280529234,1,1.001112160966382,165,72ea80489538,0.857873797416687,2.089449405670166,0.0,0.2027325123874243,0.0,1,0.9124331811037868,127,3d77dabe7560,0.8371709585189819,1.3649935722351074,0.0,0.2027325123874243,0.0,1,0.7257000097599834,10,365ec2897755,0.819314181804657,0.7401301860809326,0.10000000149011612,0.09116076173031373,0.3519334053455243,0,0.7325306342447275
7,bfcc3cdee21d,devise research or testing protocols,209,2ac9980eb5e6,0.8568451404571533,1.1104261875152588,0.1111111119389534,0.2027325123874243,0.6149755153908953,1,1.1845914798642643,158,16ac0e74dbe1,0.8796677589416504,2.2080588340759277,0.0,0.0,0.0,1,1.1149947512149812,9,3cdbc3929112,0.8807195425033569,2.25864315032959,0.0,0.0,0.0,1,1.1300000268220902,214,fc824bfe7bf0,0.8260725140571594,-0.36955443024635315,0.125,0.11157175065711056,1.0,1,1.0327827047689409,29,ef7349785e11,0.8740090131759644,1.9359066486358643,0.0,0.0,0.0,1,1.0342641639709473,220,7cd42be784e2,0.8763721585273743,2.0495598316192627,0.0,0.11157175065711056,0.0,1,1.0568208661063165,195,6b483cafcca2,0.8738851547241211,1.9299497604370117,0.0,0.0,0.0,1,1.0324971395730973,102,f2c8cd5b27ab,0.8667425513267517,1.586432933807373,0.0,0.11157175065711056,0.0,1,0.9194399234040231,192,8562bf3caec4,0.864499568939209,1.4785587787628174,0.0,0.11157175065711056,0.0,1,0.887440424798295,204,62b52b411f3a,0.821280837059021,-0.6000056266784668,0.1428571492433548,0.0,0.7279980425438168,1,0.7861184851905323
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,9,3cdbc3929112,0.8467181921005249,1.295135736465454,0.27272728085517883,0.45814529093709055,1.0,1,1.317466980484519,175,825fff3275ff,0.897232711315155,3.177643060684204,0.0714285746216774,0.34657354027998,0.2791607921593588,1,1.276469513871424,92,3f67b920ee49,0.8619580268859863,1.8630735874176025,0.06666667014360428,0.25541277854966626,0.30226484596362396,1,1.0029710871856286,94,832ecabbf00a,0.8893393278121948,2.8834831714630127,0.0714285746216774,0.34657354027998,0.2791607921593588,1,1.2094586492559836,148,253c9a1feb09,0.8329426050186157,0.7817656993865967,0.0714285746216774,0.34657354027998,0.3971492778525809,1,0.8132708486096587,182,8729852fc4b8,0.8426936864852905,1.145155906677246,0.1428571492433548,0.25541277854966626,0.5597556222932607,1,1.0110937540060951,48,23ca56c5d573,0.8470617532730103,1.3079391717910767,0.1666666716337204,0.45814529093709055,0.6626296285525629,1,1.0965998955854677,72,91e3b64a6f04,0.8223639130592346,0.38753315806388855,0.0625,0.1783374505407972,0.3399328564670396,1,0.7009250556260309,81,e9ce432833f3,0.8390753269195557,1.0103117227554321,0.0714285746216774,0.34657354027998,0.22046322892919656,1,0.7416543328014381,22,bab0b2935945,0.8192293643951416,0.2707190215587616,0.13333334028720856,0.1783374505407972,0.4531656396672609,0,0.6684225056452653
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.9468470811843872,3.609307050704956,0.3333333432674408,0.0,1.0,1,1.7633333492279053,49,824d3015533f,0.9019836783409119,1.9765050411224365,0.2857142984867096,0.11157175065711056,0.8875827192916397,1,1.3503085207086203,195,6b483cafcca2,0.9160937070846558,2.490039110183716,0.1428571492433548,0.0,0.5399943009509689,1,1.2447998522565595,182,8729852fc4b8,0.8859416246414185,1.3926550149917603,0.25,0.2027325123874243,0.8447488584474884,1,1.1961370354708556,204,62b52b411f3a,0.8294346928596497,-0.6639126539230347,0.3333333432674408,0.0,1.0,1,0.9009751199930905,8,04d0abdf0b41,0.8467181921005249,-0.034880317747592926,0.27272728085517883,0.45814529093709055,0.9727897385813257,1,0.9661114529484666,10,365ec2897755,0.8981427550315857,1.836714744567871,0.125,0.11157175065711056,0.4945492360194517,1,1.0671513299766824,84,c6940290ea74,0.8746702671051025,0.9824344515800476,0.2857142984867096,0.11157175065711056,0.7852673921958094,1,1.0761361511713754,21,c9b70de179fe,0.8429921865463257,-0.1704881489276886,0.1428571492433548,0.0,0.4600056990490311,1,0.6310991130425698,171,02b5b4014078,0.8902576565742493,1.5497368574142456,0.1428571492433548,0.0,0.4600056990490311,1,0.9916985340072877
