q_idx,q_label,q_text,idx_1,label_1,sim_1,z_1,jacc_1,lenpen_1,bm25_1,mnn_1,score_1,idx_2,label_2,sim_2,z_2,jacc_2,lenpen_2,bm25_2,mnn_2,score_2,idx_3,label_3,sim_3,z_3,jacc_3,lenpen_3,bm25_3,mnn_3,score_3,idx_4,label_4,sim_4,z_4,jacc_4,lenpen_4,bm25_4,mnn_4,score_4,idx_5,label_5,sim_5,z_5,jacc_5,lenpen_5,bm25_5,mnn_5,score_5,idx_6,label_6,sim_6,z_6,jacc_6,lenpen_6,bm25_6,mnn_6,score_6,idx_7,label_7,sim_7,z_7,jacc_7,lenpen_7,bm25_7,mnn_7,score_7,idx_8,label_8,sim_8,z_8,jacc_8,lenpen_8,bm25_8,mnn_8,score_8,idx_9,label_9,sim_9,z_9,jacc_9,lenpen_9,bm25_9,mnn_9,score_9,idx_10,label_10,sim_10,z_10,jacc_10,lenpen_10,bm25_10,mnn_10,score_10
0,d52ebdd6c51c,train personnel on proper operational procedures,37,78a6d412d86e,0.5226098299026489,2.9972710609436035,0.31343284249305725,0.09116076173031373,1.0,1,1.314854533105272,40,f64df278da5d,0.586201548576355,3.9992516040802,0.078125,0.11157175065711056,0.0,1,1.1748901386252866,62,c6d9ce80244c,0.3637844920158386,0.49474576115608215,0.3787878751754761,0.1682360897391828,0.6090768487392924,0,0.5939933399815495,107,750257b28f11,0.3833119571208954,0.8024294972419739,0.02985074557363987,0.11157175065711056,0.0,1,0.49906101864495134,43,61355ce7e829,0.35533249378204346,0.36157217621803284,0.25,0.2554127452163465,0.5052523093092118,1,0.5817746876972558,57,c1933354ef21,0.4227140545845032,1.423267126083374,0.2075471729040146,0.2554127452163465,0.35035564487217496,1,0.7427324648233372,103,6680fc36f234,0.37689730525016785,0.7013573050498962,0.1666666716337204,0.0,0.42020984140568113,1,0.6380152588984694,30,c6a87cc5d35e,0.3834959864616394,0.8053291440010071,0.2199999988079071,0.2554127452163465,0.35035564487217496,0,0.5636931102009731,114,98e7b9000779,0.41576486825942993,1.3137725591659546,0.1818181872367859,0.45814521593713003,0.562135019628792,1,0.7978414518137813,167,00c6f12023ab,0.34889110922813416,0.2600787580013275,0.3888888955116272,0.11157175065711056,0.8065963084128944,0,0.6284468190911219
1,06d678da6c8d,prepare procedural documents,77,9b108680399f,0.7685825824737549,3.8570785522460938,0.6129032373428345,0.0,1.0,1,1.4467741668224334,151,506120811a05,0.4695252776145935,1.113229513168335,0.1041666641831398,0.0,0.0,1,0.545650589466095,16,6e6ec1a475b8,0.3361220955848694,-0.11074382066726685,0.1320754736661911,0.2554127452163465,0.3480953704871541,1,0.3905062741293206,35,e19513a85bed,0.4783393144607544,1.1940982341766357,0.15909090638160706,0.0,0.4185432430857448,1,0.7253043924472344,61,dc17b84d2d6b,0.49472570419311523,1.3444433212280273,0.20000000298023224,0.2554127452163465,0.4835877978296777,1,0.7675663060473653,95,7c80e08ee743,0.7037163972854614,3.2619316577911377,0.4571428596973419,0.0,1.0,1,1.3601325869560241,27,88a991273442,0.4409124553203583,0.8507071137428284,0.11864406615495682,0.14384099455923594,0.0,1,0.4769416065949943,44,2d4009710863,0.4472803473472595,0.9091324806213379,0.15789473056793213,0.2554127452163465,0.3480953704871541,1,0.6200175686432615,185,7b03e0901b8c,0.416667103767395,0.6282561421394348,0.12280701845884323,0.2554127452163465,0.0,1,0.4202323964367878,167,00c6f12023ab,0.5855053663253784,2.1773462295532227,0.2800000011920929,0.14384099455923594,0.0,1,0.753213180794194
2,771b010da2fa,"recommend technical design or process changes to improve efficiency, quality, or performance",29,ef7349785e11,0.6047323346138,3.626011610031128,0.24137930572032928,0.4054650386637325,0.5410330217665478,1,1.335795102776202,51,6385c0e2eb2e,0.5117775201797485,2.371760606765747,0.23000000417232513,0.29389328800662196,1.0,1,1.238859483081587,145,7809c19536e4,0.502807080745697,2.2507212162017822,0.1621621549129486,0.12565719826743915,0.15907974871851754,1,0.8950601830676874,81,e9ce432833f3,0.3464387357234955,0.14082348346710205,0.18518517911434174,0.29389328800662196,0.6661069603241577,1,0.5943241831536809,198,edb3d68bc36f,0.46330326795578003,1.7176913022994995,0.12264151126146317,0.29389328800662196,0.18585554800777296,1,0.7785610086201457,102,f2c8cd5b27ab,0.49541983008384705,2.1510441303253174,0.12037037312984467,0.29389328800662196,0.2803772187470784,1,0.9190463367383319,55,4805101e52c6,0.38283291459083557,0.6318947076797485,0.14159291982650757,0.29389328800662196,0.34345305712870267,0,0.5335698733587008,192,8562bf3caec4,0.3626868426799774,0.3600612282752991,0.15238095819950104,0.29389328800662196,0.18585554800777296,0,0.40580120896089344,157,018f6a0e7f9a,0.34398117661476135,0.10766333341598511,0.125,0.0,0.36036418183651636,0,0.4328875444491985,89,b03b706832f2,0.43559500575065613,1.3438202142715454,0.0714285746216774,0.20273252627630822,0.0,1,0.627172808696141
3,33b4e36b0d81,confer with technical personnel to prepare designs or operational plans,62,c6d9ce80244c,0.6070749759674072,2.6783602237701416,0.42105263471603394,0.0,0.99530758268517,1,1.4928598505532016,15,c5e6a1a8c44d,0.5739929676055908,2.1971867084503174,0.17910447716712952,0.27980784039629336,0.8812522236029512,1,1.3601280023757039,145,7809c19536e4,0.5736575722694397,2.1923084259033203,0.23529411852359772,0.0,1.0,1,1.4079308778047561,186,4c7ceb754866,0.49508553743362427,1.0494885444641113,0.23749999701976776,0.1682360897391828,0.6227890661610791,1,0.9350178204978469,83,4ffdd533affb,0.5728203654289246,2.180131435394287,0.10958904027938843,0.27980784039629336,0.45208944765912534,1,1.1989306448124666,78,98d9410b9c2c,0.46471256017684937,0.6077175140380859,0.1428571492433548,0.27980784039629336,0.41020336830242654,1,0.7347117767771386,10,365ec2897755,0.491601824760437,0.9988183379173279,0.08139535039663315,0.1682360897391828,0.41404231592543655,1,0.8601943901861331,103,6680fc36f234,0.4655452370643616,0.6198287010192871,0.2368421107530594,0.1682360897391828,0.6606693773587912,1,0.8325225280872642,98,207462e43a8e,0.5446993112564087,1.7711143493652344,0.12264151126146317,0.0,0.2439304707225717,1,1.0117814379046979,46,f64f2eefbcb7,0.5053256750106812,1.1984299421310425,0.14457830786705017,0.1682360897391828,0.46928644105215295,1,0.929019935973514
4,9fc64a999e12,"communicate technical information to suppliers, contractors, or regulatory agencies",142,c71cb5036aef,0.5567910075187683,3.576502799987793,0.21495327353477478,0.0,1.0,1,1.5462616503238678,154,17f9d29c543d,0.4665997624397278,2.2096004486083984,0.1875,0.0,0.6014932466855267,1,1.0817002146764843,115,830e9df61ddd,0.33435726165771484,0.20538611710071564,0.1649484485387802,0.27980784039629336,0.5900009613842612,0,0.5573168455898437,27,88a991273442,0.3617009222507477,0.6197956800460815,0.17204301059246063,0.27980784039629336,0.5542711270971936,0,0.6374169954602791,199,0d99df7b9f80,0.5032651424407959,2.7652862071990967,0.2380952388048172,0.07707532800886907,0.8768824657917131,1,1.3043227161625797,198,edb3d68bc36f,0.42850059270858765,1.6321847438812256,0.12244898080825806,0.1682360897391828,0.29240259438360094,1,0.8275652815786685,17,e1dbddbff402,0.36225077509880066,0.6281290054321289,0.1473684161901474,0.27980784039629336,0.0,1,0.47002254999631005,168,ab35d13698b5,0.4067714214324951,1.3028661012649536,0.11304347962141037,0.07707532800886907,0.0,1,0.6401258083394896,186,4c7ceb754866,0.39585503935813904,1.137421727180481,0.14000000059604645,0.1682360897391828,0.29240259438360094,0,0.6607878764358843,116,1cf7420e0aac,0.3701258897781372,0.747481107711792,0.1734693944454193,0.07707532800886907,0.4682199018857571,1,0.6922340259230543
5,abdac161e57b,design medical devices or appliances,70,d5bb4574fc4d,0.7175503969192505,3.2562332153320312,0.06849315017461777,0.11157175065711056,0.4243632379262217,1,1.3470434018400563,162,957f012e4031,0.5259577631950378,1.2851277589797974,0.1666666716337204,0.14384099455923594,1.0,1,1.0760417880553748,155,f6d7dbe3f71e,0.6149582862854004,2.200765371322632,0.11999999731779099,0.14384099455923594,0.5102462741731951,1,1.1098269677299744,75,f634ee56b726,0.5763775110244751,1.8038462400436401,0.12244898080825806,0.14384099455923594,0.5102462741731951,1,1.0127309119838959,60,90e3d91fbf4d,0.5616966485977173,1.652809500694275,0.13235294818878174,0.2027325123874243,0.3914217993657387,1,0.9238761468231523,189,a49d5a99c1d7,0.47267037630081177,0.7369069457054138,0.0476190485060215,0.0,0.0,1,0.5645509168505669,147,a2140782858a,0.4149330258369446,0.14290493726730347,0.09090909361839294,0.11157175065711056,0.4243632379262217,1,0.5782045193937673,127,3d77dabe7560,0.6644779443740845,2.71022367477417,0.12903225421905518,0.0,0.46335877870863124,1,1.2203624502632835,73,a40c650a049f,0.5121767520904541,1.1433486938476562,0.011904762126505375,0.27980784039629336,0.0,1,0.6559825671409901,146,284cc33eb902,0.38269180059432983,-0.188792884349823,0.125,0.0,0.46335877870863124,0,0.46592785053589125
6,75e527217c38,research engineering aspects of biological or chemical processes,206,c32f9f13a109,0.7765964269638062,4.208022594451904,0.4492753744125366,0.09116076173031373,1.0,1,1.483123094468492,126,ebdb003908ef,0.4616272449493408,0.7557069659233093,0.3037974536418915,0.09116076173031373,0.6219592058133134,1,0.6766321285744706,204,62b52b411f3a,0.6231990456581116,2.5266640186309814,0.24637681245803833,0.2027325123874243,0.7370548607343586,1,1.0817420562165247,157,018f6a0e7f9a,0.42932799458503723,0.40168118476867676,0.16363635659217834,0.20273252627630822,0.4653176280529234,1,0.5476324959160362,59,da6e8742f6bf,0.6200014352798462,2.4916155338287354,0.22972972691059113,0.2027325123874243,0.6211695670957962,1,1.03110175385414,214,fc824bfe7bf0,0.49632561206817627,1.1360290050506592,0.16049382090568542,0.09116076173031373,0.4049996907988265,1,0.6813398541493625,208,c1c0caaa937b,0.4100099503993988,0.18993987143039703,0.12195122241973877,0.2027325123874243,0.29483898213239673,1,0.43824699791400545,181,49ccfbfcfc0a,0.4980214834213257,1.1546170711517334,0.12820513546466827,0.2027325123874243,0.47072232479609577,1,0.7093731904103265,9,3cdbc3929112,0.45357757806777954,0.6674761176109314,0.14666666090488434,0.2027325123874243,0.3263305849633995,0,0.4984655232434033,209,2ac9980eb5e6,0.3845231533050537,-0.08941593766212463,0.07216494530439377,0.0,0.24906489358216158,1,0.3742077801858172
7,bfcc3cdee21d,devise research or testing protocols,214,fc824bfe7bf0,0.5463796854019165,1.5131078958511353,0.10769230872392654,0.11157175065711056,1.0,1,1.255463691472195,141,dbc0d59bd942,0.5807905197143555,1.9804731607437134,0.12857143580913544,0.11157175065711056,0.666730880547555,1,1.2550829697080248,220,7cd42be784e2,0.6245636343955994,2.57499623298645,0.07692307978868484,0.11157175065711056,0.0,1,1.1751906205407605,59,da6e8742f6bf,0.5558948516845703,1.6423420906066895,0.15000000596046448,0.0,0.7279980425438168,1,1.182220948513384,205,45b6fa08d56b,0.5282946825027466,1.2674788236618042,0.19565217196941376,0.14384099455923594,0.8016645111345602,1,1.0878711160043961,56,269bfa3db5c6,0.6049578189849854,2.308711528778076,0.07352941483259201,0.11157175065711056,0.0,1,1.0971965868464932,173,49c0d2367c5d,0.5180368423461914,1.128157615661621,0.1746031790971756,0.11157175065711056,0.666730880547555,1,0.9986435819097155,208,c1c0caaa937b,0.45680275559425354,0.29648110270500183,0.12903225421905518,0.0,0.7279980425438168,1,0.7925826959570601,160,56c85bc2a8f3,0.53955078125,1.4203583002090454,0.12280701845884323,0.0,0.7279980425438168,1,1.1223500348886206,158,16ac0e74dbe1,0.5597026944160461,1.69405996799469,0.056603774428367615,0.0,0.0,1,0.9240430772304535
8,04d0abdf0b41,develop operational methods or processes that use green materials or emphasize sustainability,9,3cdbc3929112,0.5453643202781677,2.870131731033325,0.25531914830207825,0.45814529093709055,1.0,1,1.5132629319863486,139,80c1c070d6f0,0.4228295683860779,1.0871496200561523,0.1304347813129425,0.34657354027998,0.3384517146224187,1,0.8002068982397422,72,91e3b64a6f04,0.4133627116680145,0.9493990540504456,0.08208955079317093,0.1783374505407972,0.3399328564670396,1,0.7781546584932324,94,832ecabbf00a,0.515148401260376,2.43046498298645,0.18918919563293457,0.34657354027998,0.2791607921593588,1,1.1289564494047981,22,bab0b2935945,0.3543162941932678,0.09022489190101624,0.20909090340137482,0.1783374505407972,0.4531656396672609,0,0.5268421445345705,73,a40c650a049f,0.3836953639984131,0.5177146196365356,0.13821138441562653,0.1783374505407972,0.3583795484870567,0,0.6107884655326197,174,003763627ff4,0.4335974454879761,1.2438311576843262,0.1349206417798996,0.25541277854966626,0.20334964494839133,0,0.7426874845614786,44,2d4009710863,0.399478942155838,0.7473787665367126,0.14678898453712463,0.34657354027998,0.22046322892919656,0,0.6085685180105529,57,c1933354ef21,0.38294315338134766,0.5067693591117859,0.20430107414722443,0.6019862854963265,0.6591046042245914,0,0.6999106215016673,148,253c9a1feb09,0.39764177799224854,0.7206465005874634,0.06611569970846176,0.34657354027998,0.3971492778525809,0,0.6816041383297807
9,3cdbc3929112,develop technical methods or processes,48,23ca56c5d573,0.7689198851585388,3.685126781463623,0.38461539149284363,0.0,1.0,1,1.5038461208343505,84,c6940290ea74,0.5790575742721558,1.531994104385376,0.25,0.11157175065711056,0.7852673921958094,1,0.9645192858360231,195,6b483cafcca2,0.6156210899353027,1.946642518043518,0.18518517911434174,0.0,0.5399943009509689,1,0.9751280820566037,49,824d3015533f,0.6104677319526672,1.8882008790969849,0.27586206793785095,0.11157175065711056,0.8875827192916397,1,1.081028181717137,198,edb3d68bc36f,0.6258712410926819,2.0628843307495117,0.21311475336551666,0.11157175065711056,0.3639750440568452,1,0.9208714398793494,8,04d0abdf0b41,0.5453643202781677,1.1498959064483643,0.25531914830207825,0.45814529093709055,0.9727897385813257,1,0.9361137510200294,10,365ec2897755,0.5647495985031128,1.3697346448898315,0.09090909361839294,0.11157175065711056,0.4945492360194517,1,0.8327812030386749,59,da6e8742f6bf,0.4910391569137573,0.533821702003479,0.14516128599643707,0.0,0.5091386755288673,1,0.6456482701492721,192,8562bf3caec4,0.4647855758666992,0.23609311878681183,0.1875,0.11157175065711056,0.3639750440568452,1,0.5107404995016372,204,62b52b411f3a,0.4779410660266876,0.3852829039096832,0.29411765933036804,0.0,1.0,1,0.7960046313703061
